dataset,id,dataset_url,omicsdi_url,omicsdi_api_url,local_path
metabolights,MTBLS21,http://www.ebi.ac.uk/metabolights/MTBLS21,https://www.omicsdi.org/dataset/metabolights_dataset/MTBLS21,https://www.omicsdi.org/ws/dataset/metabolights_dataset/MTBLS21.json,/ebi/ftp/pub/databases/metabolights/studies/public/MTBLS21
metabolights,MTBLS56,http://www.ebi.ac.uk/metabolights/MTBLS56,https://www.omicsdi.org/dataset/metabolights_dataset/MTBLS56,https://www.omicsdi.org/ws/dataset/metabolights_dataset/MTBLS56.json,/ebi/ftp/pub/databases/metabolights/studies/public/MTBLS56
metabolights,MTBLS194,http://www.ebi.ac.uk/metabolights/MTBLS194,https://www.omicsdi.org/dataset/metabolights_dataset/MTBLS194,https://www.omicsdi.org/ws/dataset/metabolights_dataset/MTBLS194.json,/ebi/ftp/pub/databases/metabolights/studies/public/MTBLS194
metabolights,MTBLS46,http://www.ebi.ac.uk/metabolights/MTBLS46,https://www.omicsdi.org/dataset/metabolights_dataset/MTBLS46,https://www.omicsdi.org/ws/dataset/metabolights_dataset/MTBLS46.json,/ebi/ftp/pub/databases/metabolights/studies/public/MTBLS46
metabolights,MTBLS88,http://www.ebi.ac.uk/metabolights/MTBLS88,https://www.omicsdi.org/dataset/metabolights_dataset/MTBLS88,https://www.omicsdi.org/ws/dataset/metabolights_dataset/MTBLS88.json,/ebi/ftp/pub/databases/metabolights/studies/public/MTBLS88
metabolights,MTBLS8,http://www.ebi.ac.uk/metabolights/MTBLS8,https://www.omicsdi.org/dataset/metabolights_dataset/MTBLS8,https://www.omicsdi.org/ws/dataset/metabolights_dataset/MTBLS8.json,/ebi/ftp/pub/databases/metabolights/studies/public/MTBLS8
metabolights,MTBLS15,http://www.ebi.ac.uk/metabolights/MTBLS15,https://www.omicsdi.org/dataset/metabolights_dataset/MTBLS15,https://www.omicsdi.org/ws/dataset/metabolights_dataset/MTBLS15.json,/ebi/ftp/pub/databases/metabolights/studies/public/MTBLS15
metabolights,MTBLS114,http://www.ebi.ac.uk/metabolights/MTBLS114,https://www.omicsdi.org/dataset/metabolights_dataset/MTBLS114,https://www.omicsdi.org/ws/dataset/metabolights_dataset/MTBLS114.json,/ebi/ftp/pub/databases/metabolights/studies/public/MTBLS114
metabolights,MTBLS103,http://www.ebi.ac.uk/metabolights/MTBLS103,https://www.omicsdi.org/dataset/metabolights_dataset/MTBLS103,https://www.omicsdi.org/ws/dataset/metabolights_dataset/MTBLS103.json,/ebi/ftp/pub/databases/metabolights/studies/public/MTBLS103
metabolights,MTBLS116,http://www.ebi.ac.uk/metabolights/MTBLS116,https://www.omicsdi.org/dataset/metabolights_dataset/MTBLS116,https://www.omicsdi.org/ws/dataset/metabolights_dataset/MTBLS116.json,/ebi/ftp/pub/databases/metabolights/studies/public/MTBLS116
